Sample Name,Sample title,BioProject accession,Organism,host,isolation source,collection date,geographic location,latitude and longitude,library,sample type,isolate
oro161181,oro161181,PRJNA518082,not collected,not collected,feces metagenome,2016-06-17,USA: Penacook NH,not applicable,libA,sample,oro161181
negoro12B02,negoro12B02,PRJNA518082,not collected,not collected,feces metagenome,not applicable,not applicable,not applicable,libB,ncontrol,negoro12B02
negoro12C03,negoro12C03,PRJNA518082,not collected,not collected,feces metagenome,not applicable,not applicable,not applicable,libB,ncontrol,negoro12C03
negoro12D04,negoro12D04,PRJNA518082,not collected,not collected,feces metagenome,not applicable,not applicable,not applicable,libB,ncontrol,negoro12D04
negoro12E05,negoro12E05,PRJNA518082,not collected,not collected,feces metagenome,not applicable,not applicable,not applicable,libB,ncontrol,negoro12E05
negoro12F06,negoro12F06,PRJNA518082,not collected,not collected,feces metagenome,not applicable,not applicable,not applicable,libB,ncontrol,negoro12F06
negoro12G07,negoro12G07,PRJNA518082,not collected,not collected,feces metagenome,not applicable,not applicable,not applicable,libB,ncontrol,negoro12G07
negoro12H08,negoro12H08,PRJNA518082,not collected,not collected,feces metagenome,not applicable,not applicable,not applicable,libB,ncontrol,negoro12H08
oro161324,oro161324,PRJNA518082,not collected,not collected,feces metagenome,2016-05-21,USA: Epsom NH,not applicable,libA,sample,oro161324
oro161325,oro161325,PRJNA518082,not collected,not collected,feces metagenome,2016-05-21,USA: Epsom NH,not applicable,libA,sample,oro161325
oro161327,oro161327,PRJNA518082,not collected,not collected,feces metagenome,2016-05-21,USA: Epsom NH,not applicable,libA,sample,oro161327
oro161328,oro161328,PRJNA518082,not collected,not collected,feces metagenome,2016-05-21,USA: Epsom NH,not applicable,libA,sample,oro161328
oro161329,oro161329,PRJNA518082,not collected,not collected,feces metagenome,2016-05-21,USA: Epsom NH,not applicable,libA,sample,oro161329
oro161330,oro161330,PRJNA518082,not collected,not collected,feces metagenome,2016-05-21,USA: Epsom NH,not applicable,libA,sample,oro161330
oro161331,oro161331,PRJNA518082,not collected,not collected,feces metagenome,2016-05-21,USA: Epsom NH,not applicable,libA,sample,oro161331
oro161334,oro161334,PRJNA518082,not collected,not collected,feces metagenome,2016-05-24,USA: Epsom NH,not applicable,libA,sample,oro161334
oro161335,oro161335,PRJNA518082,not collected,not collected,feces metagenome,2016-05-24,USA: Epsom NH,not applicable,libA,sample,oro161335
oro161336,oro161336,PRJNA518082,not collected,not collected,feces metagenome,2016-05-24,USA: Epsom NH,not applicable,libA,sample,oro161336
oro161337,oro161337,PRJNA518082,not collected,not collected,feces metagenome,2016-05-24,USA: Epsom NH,not applicable,libA,sample,oro161337
oro161338,oro161338,PRJNA518082,not collected,not collected,feces metagenome,2016-05-24,USA: Epsom NH,not applicable,libA,sample,oro161338
oro161339,oro161339,PRJNA518082,not collected,not collected,feces metagenome,2016-05-24,USA: Epsom NH,not applicable,libA,sample,oro161339
oro161340,oro161340,PRJNA518082,not collected,not collected,feces metagenome,2016-05-24,USA: Epsom NH,not applicable,libA,sample,oro161340
oro161341,oro161341,PRJNA518082,not collected,not collected,feces metagenome,2016-05-24,USA: Epsom NH,not applicable,libA,sample,oro161341
oro161342,oro161342,PRJNA518082,not collected,not collected,feces metagenome,2016-05-24,USA: Epsom NH,not applicable,libA,sample,oro161342
oro161343,oro161343,PRJNA518082,not collected,not collected,feces metagenome,2016-05-24,USA: Epsom NH,not applicable,libA,sample,oro161343
oro161344,oro161344,PRJNA518082,not collected,not collected,feces metagenome,2016-05-24,USA: Epsom NH,not applicable,libA,sample,oro161344
oro161345,oro161345,PRJNA518082,not collected,not collected,feces metagenome,2016-05-24,USA: Epsom NH,not applicable,libA,sample,oro161345
oro161346,oro161346,PRJNA518082,not collected,not collected,feces metagenome,2016-06-04,USA: Epsom NH,not applicable,libA,sample,oro161346
oro161347,oro161347,PRJNA518082,not collected,not collected,feces metagenome,2016-06-04,USA: Epsom NH,not applicable,libA,sample,oro161347
oro161348,oro161348,PRJNA518082,not collected,not collected,feces metagenome,2016-06-04,USA: Epsom NH,not applicable,libA,sample,oro161348
oro161349,oro161349,PRJNA518082,not collected,not collected,feces metagenome,2016-06-04,USA: Epsom NH,not applicable,libA,sample,oro161349
oro161350,oro161350,PRJNA518082,not collected,not collected,feces metagenome,2016-06-04,USA: Epsom NH,not applicable,libA,sample,oro161350
oro161351,oro161351,PRJNA518082,not collected,not collected,feces metagenome,2016-06-04,USA: Epsom NH,not applicable,libA,sample,oro161351
oro161352,oro161352,PRJNA518082,not collected,not collected,feces metagenome,2016-06-04,USA: Epsom NH,not applicable,libA,sample,oro161352
oro161353,oro161353,PRJNA518082,not collected,not collected,feces metagenome,2016-06-04,USA: Epsom NH,not applicable,libA,sample,oro161353
oro161354,oro161354,PRJNA518082,not collected,not collected,feces metagenome,2016-06-04,USA: Epsom NH,not applicable,libA,sample,oro161354
oro161355,oro161355,PRJNA518082,not collected,not collected,feces metagenome,2016-06-04,USA: Epsom NH,not applicable,libA,sample,oro161355
oro161356,oro161356,PRJNA518082,not collected,not collected,feces metagenome,2016-06-04,USA: Epsom NH,not applicable,libA,sample,oro161356
oro161357,oro161357,PRJNA518082,not collected,not collected,feces metagenome,2016-06-04,USA: Epsom NH,not applicable,libA,sample,oro161357
oro161358,oro161358,PRJNA518082,not collected,not collected,feces metagenome,2016-06-10,USA: Epsom NH,not applicable,libA,sample,oro161358
oro161360,oro161360,PRJNA518082,not collected,not collected,feces metagenome,2016-06-10,USA: Epsom NH,not applicable,libA,sample,oro161360
oro161361,oro161361,PRJNA518082,not collected,not collected,feces metagenome,2016-06-10,USA: Epsom NH,not applicable,libA,sample,oro161361
oro161362,oro161362,PRJNA518082,not collected,not collected,feces metagenome,2016-06-10,USA: Epsom NH,not applicable,libA,sample,oro161362
oro161363,oro161363,PRJNA518082,not collected,not collected,feces metagenome,2016-06-10,USA: Epsom NH,not applicable,libA,sample,oro161363
oro161364,oro161364,PRJNA518082,not collected,not collected,feces metagenome,2016-06-10,USA: Epsom NH,not applicable,libA,sample,oro161364
oro161365,oro161365,PRJNA518082,not collected,not collected,feces metagenome,2016-06-10,USA: Epsom NH,not applicable,libA,sample,oro161365
oro161366,oro161366,PRJNA518082,not collected,not collected,feces metagenome,2016-06-10,USA: Epsom NH,not applicable,libA,sample,oro161366
oro161367,oro161367,PRJNA518082,not collected,not collected,feces metagenome,2016-06-10,USA: Epsom NH,not applicable,libA,sample,oro161367
oro161368,oro161368,PRJNA518082,not collected,not collected,feces metagenome,2016-06-10,USA: Epsom NH,not applicable,libA,sample,oro161368
oro161369,oro161369,PRJNA518082,not collected,not collected,feces metagenome,2016-06-10,USA: Epsom NH,not applicable,libA,sample,oro161369
negoro13A01,negoro13A01,PRJNA518082,not collected,not collected,feces metagenome,not applicable,not applicable,not applicable,libB,ncontrol,negoro13A01
negoro13B02,negoro13B02,PRJNA518082,not collected,not collected,feces metagenome,not applicable,not applicable,not applicable,libB,ncontrol,negoro13B02
negoro13C03,negoro13C03,PRJNA518082,not collected,not collected,feces metagenome,not applicable,not applicable,not applicable,libB,ncontrol,negoro13C03
negoro13D04,negoro13D04,PRJNA518082,not collected,not collected,feces metagenome,not applicable,not applicable,not applicable,libB,ncontrol,negoro13D04
negoro13E05,negoro13E05,PRJNA518082,not collected,not collected,feces metagenome,not applicable,not applicable,not applicable,libB,ncontrol,negoro13E05
negoro13F06,negoro13F06,PRJNA518082,not collected,not collected,feces metagenome,not applicable,not applicable,not applicable,libB,ncontrol,negoro13F06
negoro13G07,negoro13G07,PRJNA518082,not collected,not collected,feces metagenome,not applicable,not applicable,not applicable,libB,ncontrol,negoro13G07
oro161435,oro161435,PRJNA518082,not collected,not collected,feces metagenome,2016-05-19,USA: Canterbury NH,not applicable,libA,sample,oro161435
oro161436,oro161436,PRJNA518082,not collected,not collected,feces metagenome,2016-05-19,USA: Canterbury NH,not applicable,libA,sample,oro161436
oro161437,oro161437,PRJNA518082,not collected,not collected,feces metagenome,2016-05-19,USA: Canterbury NH,not applicable,libA,sample,oro161437
oro161438,oro161438,PRJNA518082,not collected,not collected,feces metagenome,2016-05-19,USA: Canterbury NH,not applicable,libA,sample,oro161438
oro161439,oro161439,PRJNA518082,not collected,not collected,feces metagenome,2016-05-19,USA: Canterbury NH,not applicable,libA,sample,oro161439
oro161440,oro161440,PRJNA518082,not collected,not collected,feces metagenome,2016-05-19,USA: Canterbury NH,not applicable,libA,sample,oro161440
oro161441,oro161441,PRJNA518082,not collected,not collected,feces metagenome,2016-05-19,USA: Canterbury NH,not applicable,libA,sample,oro161441
