Sample Name	Sample title	BioProject Accession	Organism	host	isolation source	collection date	geographic location	latitude and longitude	Sample type	Isolate
oro161139		PRJNA518082	not collected		feces metagenome	2016-05-26	USA: Penacook NH	not collected	sample	oro161139
oro161140		PRJNA518082	not collected		feces metagenome	2016-05-26	USA: Penacook NH	not collected	sample	oro161140
oro161141		PRJNA518082	not collected		feces metagenome	2016-05-26	USA: Penacook NH	not collected	sample	oro161141
oro161142		PRJNA518082	not collected		feces metagenome	2016-05-26	USA: Penacook NH	not collected	sample	oro161142
oro161143		PRJNA518082	not collected		feces metagenome	2016-05-26	USA: Penacook NH	not collected	sample	oro161143
oro161144		PRJNA518082	not collected		feces metagenome	2016-05-26	USA: Penacook NH	not collected	sample	oro161144
oro161146		PRJNA518082	not collected		feces metagenome	2016-06-03	USA: Penacook NH	not collected	sample	oro161146
oro161147		PRJNA518082	not collected		feces metagenome	2016-06-03	USA: Penacook NH	not collected	sample	oro161147
oro161148		PRJNA518082	not collected		feces metagenome	2016-06-03	USA: Penacook NH	not collected	sample	oro161148
oro161149		PRJNA518082	not collected		feces metagenome	2016-06-03	USA: Penacook NH	not collected	sample	oro161149
oro161150		PRJNA518082	not collected		feces metagenome	2016-06-03	USA: Penacook NH	not collected	sample	oro161150
oro161151		PRJNA518082	not collected		feces metagenome	2016-06-03	USA: Penacook NH	not collected	sample	oro161151
oro161152		PRJNA518082	not collected		feces metagenome	2016-06-03	USA: Penacook NH	not collected	sample	oro161152
oro161153		PRJNA518082	not collected		feces metagenome	2016-06-03	USA: Penacook NH	not collected	sample	oro161153
oro161154		PRJNA518082	not collected		feces metagenome	2016-06-03	USA: Penacook NH	not collected	sample	oro161154
oro161155		PRJNA518082	not collected		feces metagenome	2016-06-03	USA: Penacook NH	not collected	sample	oro161155
oro161156		PRJNA518082	not collected		feces metagenome	2016-06-03	USA: Penacook NH	not collected	sample	oro161156
oro161157		PRJNA518082	not collected		feces metagenome	2016-06-03	USA: Penacook NH	not collected	sample	oro161157
oro161158		PRJNA518082	not collected		feces metagenome	2016-06-09	USA: Penacook NH	not collected	sample	oro161158
oro161159		PRJNA518082	not collected		feces metagenome	2016-06-09	USA: Penacook NH	not collected	sample	oro161159
oro161160		PRJNA518082	not collected		feces metagenome	2016-06-09	USA: Penacook NH	not collected	sample	oro161160
oro161161		PRJNA518082	not collected		feces metagenome	2016-06-09	USA: Penacook NH	not collected	sample	oro161161
oro161162		PRJNA518082	not collected		feces metagenome	2016-06-09	USA: Penacook NH	not collected	sample	oro161162
oro161164		PRJNA518082	not collected		feces metagenome	2016-06-09	USA: Penacook NH	not collected	sample	oro161164
oro161165		PRJNA518082	not collected		feces metagenome	2016-06-09	USA: Penacook NH	not collected	sample	oro161165
oro161166		PRJNA518082	not collected		feces metagenome	2016-06-09	USA: Penacook NH	not collected	sample	oro161166
oro161167		PRJNA518082	not collected		feces metagenome	2016-06-09	USA: Penacook NH	not collected	sample	oro161167
oro161168		PRJNA518082	not collected		feces metagenome	2016-06-09	USA: Penacook NH	not collected	sample	oro161168
oro161169		PRJNA518082	not collected		feces metagenome	2016-06-09	USA: Penacook NH	not collected	sample	oro161169
oro161170		PRJNA518082	not collected		feces metagenome	2016-06-17	USA: Penacook NH	not collected	sample	oro161170
oro161171		PRJNA518082	not collected		feces metagenome	2016-06-17	USA: Penacook NH	not collected	sample	oro161171
oro161171a		PRJNA518082	not collected		feces metagenome	2016-06-17	USA: Penacook NH	not collected	sample	oro161171a
oro161171b		PRJNA518082	not collected		feces metagenome	2016-06-17	USA: Penacook NH	not collected	sample	oro161171b
oro161172		PRJNA518082	not collected		feces metagenome	2016-06-17	USA: Penacook NH	not collected	sample	oro161172
oro161173		PRJNA518082	not collected		feces metagenome	2016-06-17	USA: Penacook NH	not collected	sample	oro161173
oro161174		PRJNA518082	not collected		feces metagenome	2016-06-17	USA: Penacook NH	not collected	sample	oro161174
oro161175		PRJNA518082	not collected		feces metagenome	2016-06-17	USA: Penacook NH	not collected	sample	oro161175
oro161176		PRJNA518082	not collected		feces metagenome	2016-06-17	USA: Penacook NH	not collected	sample	oro161176
oro161178		PRJNA518082	not collected		feces metagenome	2016-06-17	USA: Penacook NH	not collected	sample	oro161178
oro161179		PRJNA518082	not collected		feces metagenome	2016-06-17	USA: Penacook NH	not collected	sample	oro161179
oro161180		PRJNA518082	not collected		feces metagenome	2016-06-17	USA: Penacook NH	not collected	sample	oro161180
oro161181		PRJNA518082	not collected		feces metagenome	2016-06-17	USA: Penacook NH	not collected	sample	oro161181
oro161324		PRJNA518082	not collected		feces metagenome	2016-05-21	USA: Epsom NH	not collected	sample	oro161324
oro161325		PRJNA518082	not collected		feces metagenome	2016-05-21	USA: Epsom NH	not collected	sample	oro161325
oro161327		PRJNA518082	not collected		feces metagenome	2016-05-21	USA: Epsom NH	not collected	sample	oro161327
oro161328		PRJNA518082	not collected		feces metagenome	2016-05-21	USA: Epsom NH	not collected	sample	oro161328
oro161329		PRJNA518082	not collected		feces metagenome	2016-05-21	USA: Epsom NH	not collected	sample	oro161329
oro161330		PRJNA518082	not collected		feces metagenome	2016-05-21	USA: Epsom NH	not collected	sample	oro161330
oro161331		PRJNA518082	not collected		feces metagenome	2016-05-21	USA: Epsom NH	not collected	sample	oro161331
oro161334		PRJNA518082	not collected		feces metagenome	2016-05-24	USA: Epsom NH	not collected	sample	oro161334
oro161335		PRJNA518082	not collected		feces metagenome	2016-05-24	USA: Epsom NH	not collected	sample	oro161335
oro161336		PRJNA518082	not collected		feces metagenome	2016-05-24	USA: Epsom NH	not collected	sample	oro161336
oro161337		PRJNA518082	not collected		feces metagenome	2016-05-24	USA: Epsom NH	not collected	sample	oro161337
oro161338		PRJNA518082	not collected		feces metagenome	2016-05-24	USA: Epsom NH	not collected	sample	oro161338
oro161339		PRJNA518082	not collected		feces metagenome	2016-05-24	USA: Epsom NH	not collected	sample	oro161339
oro161340		PRJNA518082	not collected		feces metagenome	2016-05-24	USA: Epsom NH	not collected	sample	oro161340
oro161341		PRJNA518082	not collected		feces metagenome	2016-05-24	USA: Epsom NH	not collected	sample	oro161341
oro161342		PRJNA518082	not collected		feces metagenome	2016-05-24	USA: Epsom NH	not collected	sample	oro161342
oro161343		PRJNA518082	not collected		feces metagenome	2016-05-24	USA: Epsom NH	not collected	sample	oro161343
oro161344		PRJNA518082	not collected		feces metagenome	2016-05-24	USA: Epsom NH	not collected	sample	oro161344
oro161345		PRJNA518082	not collected		feces metagenome	2016-05-24	USA: Epsom NH	not collected	sample	oro161345
oro161346		PRJNA518082	not collected		feces metagenome	2016-06-04	USA: Epsom NH	not collected	sample	oro161346
oro161347		PRJNA518082	not collected		feces metagenome	2016-06-04	USA: Epsom NH	not collected	sample	oro161347
oro161348		PRJNA518082	not collected		feces metagenome	2016-06-04	USA: Epsom NH	not collected	sample	oro161348
oro161349		PRJNA518082	not collected		feces metagenome	2016-06-04	USA: Epsom NH	not collected	sample	oro161349
oro161350		PRJNA518082	not collected		feces metagenome	2016-06-04	USA: Epsom NH	not collected	sample	oro161350
