Sample Name	Sample title	BioProject Accession	Organism	host	isolation source	collection date	geographic location	latitude and longitude	Sample type	Isolate
oro163579		PRJNA518082	not collected		feces metagenome	2016-07-23	USA: Massabesic NH	not collected	sample	oro163579
oro163580		PRJNA518082	not collected		feces metagenome	2016-07-23	USA: Massabesic NH	not collected	sample	oro163580
oro163581		PRJNA518082	not collected		feces metagenome	2016-07-23	USA: Massabesic NH	not collected	sample	oro163581
oro163582		PRJNA518082	not collected		feces metagenome	2016-07-23	USA: Massabesic NH	not collected	sample	oro163582
oro163583		PRJNA518082	not collected		feces metagenome	2016-07-23	USA: Massabesic NH	not collected	sample	oro163583
negoro35A01		PRJNA518082	not collected		feces metagenome	not applicable	not applicable	not collected	contaminant	negoro35A01
negoro35D03		PRJNA518082	not collected		feces metagenome	not applicable	not applicable	not collected	ncontrol	negoro35D03
negoro35D04		PRJNA518082	not collected		feces metagenome	not applicable	not applicable	not collected	ncontrol	negoro35D04
negoro35F06		PRJNA518082	not collected		feces metagenome	not applicable	not applicable	not collected	ncontrol	negoro35F06
oro164022		PRJNA518082	not collected		feces metagenome	2016-08-21	USA: Hopkinton NH	not collected	sample	oro164022
oro164023		PRJNA518082	not collected		feces metagenome	2016-08-21	USA: Hopkinton NH	not collected	sample	oro164023
oro164024		PRJNA518082	not collected		feces metagenome	2016-08-21	USA: Hopkinton NH	not collected	sample	oro164024
oro164025		PRJNA518082	not collected		feces metagenome	2016-08-21	USA: Hopkinton NH	not collected	sample	oro164025
oro164026		PRJNA518082	not collected		feces metagenome	2016-08-21	USA: Hopkinton NH	not collected	sample	oro164026
oro164027		PRJNA518082	not collected		feces metagenome	2016-08-21	USA: Hopkinton NH	not collected	sample	oro164027
oro164029		PRJNA518082	not collected		feces metagenome	2016-08-21	USA: Hopkinton NH	not collected	sample	oro164029
oro164030		PRJNA518082	not collected		feces metagenome	2016-08-21	USA: Hopkinton NH	not collected	sample	oro164030
oro164031		PRJNA518082	not collected		feces metagenome	2016-08-21	USA: Hopkinton NH	not collected	sample	oro164031
oro164034		PRJNA518082	not collected		feces metagenome	2016-08-28	USA: Hopkinton NH	not collected	sample	oro164034
oro164035		PRJNA518082	not collected		feces metagenome	2016-08-28	USA: Hopkinton NH	not collected	sample	oro164035
oro164036		PRJNA518082	not collected		feces metagenome	2016-08-28	USA: Hopkinton NH	not collected	sample	oro164036
oro164037		PRJNA518082	not collected		feces metagenome	2016-08-28	USA: Hopkinton NH	not collected	sample	oro164037
oro164038		PRJNA518082	not collected		feces metagenome	2016-08-28	USA: Hopkinton NH	not collected	sample	oro164038
oro164039		PRJNA518082	not collected		feces metagenome	2016-08-28	USA: Hopkinton NH	not collected	sample	oro164039
oro164040		PRJNA518082	not collected		feces metagenome	2016-08-28	USA: Hopkinton NH	not collected	sample	oro164040
oro164041		PRJNA518082	not collected		feces metagenome	2016-08-28	USA: Hopkinton NH	not collected	sample	oro164041
oro164042		PRJNA518082	not collected		feces metagenome	2016-08-28	USA: Hopkinton NH	not collected	sample	oro164042
oro164045		PRJNA518082	not collected		feces metagenome	2016-08-28	USA: Hopkinton NH	not collected	sample	oro164045
oro164046		PRJNA518082	not collected		feces metagenome	2016-09-06	USA: Hopkinton NH	not collected	sample	oro164046
oro164047		PRJNA518082	not collected		feces metagenome	2016-09-06	USA: Hopkinton NH	not collected	sample	oro164047
oro164049		PRJNA518082	not collected		feces metagenome	2016-09-06	USA: Hopkinton NH	not collected	sample	oro164049
oro164050		PRJNA518082	not collected		feces metagenome	2016-09-06	USA: Hopkinton NH	not collected	sample	oro164050
oro164053		PRJNA518082	not collected		feces metagenome	2016-09-06	USA: Hopkinton NH	not collected	sample	oro164053
oro164055		PRJNA518082	not collected		feces metagenome	2016-09-06	USA: Hopkinton NH	not collected	sample	oro164055
oro164056		PRJNA518082	not collected		feces metagenome	2016-09-06	USA: Hopkinton NH	not collected	sample	oro164056
oro164057		PRJNA518082	not collected		feces metagenome	2016-09-06	USA: Hopkinton NH	not collected	sample	oro164057
oro164058		PRJNA518082	not collected		feces metagenome	2016-09-12	USA: Hopkinton NH	not collected	sample	oro164058
oro164059		PRJNA518082	not collected		feces metagenome	2016-09-12	USA: Hopkinton NH	not collected	sample	oro164059
oro164060		PRJNA518082	not collected		feces metagenome	2016-09-12	USA: Hopkinton NH	not collected	sample	oro164060
oro164061		PRJNA518082	not collected		feces metagenome	2016-09-12	USA: Hopkinton NH	not collected	sample	oro164061
oro164062		PRJNA518082	not collected		feces metagenome	2016-09-12	USA: Hopkinton NH	not collected	sample	oro164062
oro164063		PRJNA518082	not collected		feces metagenome	2016-09-12	USA: Hopkinton NH	not collected	sample	oro164063
oro164064		PRJNA518082	not collected		feces metagenome	2016-09-12	USA: Hopkinton NH	not collected	sample	oro164064
oro164065		PRJNA518082	not collected		feces metagenome	2016-09-12	USA: Hopkinton NH	not collected	sample	oro164065
oro164066		PRJNA518082	not collected		feces metagenome	2016-09-12	USA: Hopkinton NH	not collected	sample	oro164066
oro164068		PRJNA518082	not collected		feces metagenome	2016-09-12	USA: Hopkinton NH	not collected	sample	oro164068
oro164070		PRJNA518082	not collected		feces metagenome	2016-09-12	USA: Hopkinton NH	not collected	sample	oro164070
oro164071		PRJNA518082	not collected		feces metagenome	2016-09-18	USA: Hopkinton NH	not collected	sample	oro164071
oro164072		PRJNA518082	not collected		feces metagenome	2016-09-18	USA: Hopkinton NH	not collected	sample	oro164072
oro164073		PRJNA518082	not collected		feces metagenome	2016-09-18	USA: Hopkinton NH	not collected	sample	oro164073
oro164075		PRJNA518082	not collected		feces metagenome	2016-09-18	USA: Hopkinton NH	not collected	sample	oro164075
oro164076		PRJNA518082	not collected		feces metagenome	2016-09-18	USA: Hopkinton NH	not collected	sample	oro164076
oro164077		PRJNA518082	not collected		feces metagenome	2016-09-18	USA: Hopkinton NH	not collected	sample	oro164077
oro164078		PRJNA518082	not collected		feces metagenome	2016-09-18	USA: Hopkinton NH	not collected	sample	oro164078
oro164079		PRJNA518082	not collected		feces metagenome	2016-09-18	USA: Hopkinton NH	not collected	sample	oro164079
oro164082		PRJNA518082	not collected		feces metagenome	2016-09-18	USA: Hopkinton NH	not collected	sample	oro164082
oro164083		PRJNA518082	not collected		feces metagenome	2016-09-18	USA: Hopkinton NH	not collected	sample	oro164083
oro164284		PRJNA518082	not collected		feces metagenome	2016-08-01	USA: Hopkinton NH	not collected	sample	oro164284
oro164285		PRJNA518082	not collected		feces metagenome	2016-08-01	USA: Hopkinton NH	not collected	sample	oro164285
oro164286		PRJNA518082	not collected		feces metagenome	2016-08-01	USA: Hopkinton NH	not collected	sample	oro164286
oro164287		PRJNA518082	not collected		feces metagenome	2016-08-01	USA: Hopkinton NH	not collected	sample	oro164287
oro164288		PRJNA518082	not collected		feces metagenome	2016-08-01	USA: Hopkinton NH	not collected	sample	oro164288
oro164289		PRJNA518082	not collected		feces metagenome	2016-08-01	USA: Hopkinton NH	not collected	sample	oro164289
