Sample Name	Sample title	BioProject Accession	Organism	host	isolation source	collection date	geographic location	latitude and longitude	Sample type	Isolate
oro162570		PRJNA518082	not collected		feces metagenome	2016-10-01	USA: Maple Hill Hollis NH	not collected	sample	oro162570
oro162571		PRJNA518082	not collected		feces metagenome	2016-10-01	USA: Maple Hill Hollis NH	not collected	sample	oro162571
oro162572		PRJNA518082	not collected		feces metagenome	2016-10-01	USA: Maple Hill Hollis NH	not collected	sample	oro162572
oro162573		PRJNA518082	not collected		feces metagenome	2016-10-01	USA: Maple Hill Hollis NH	not collected	sample	oro162573
oro162654		PRJNA518082	not collected		feces metagenome	2016-08-26	USA: Brown Lane Hollis NH	not collected	sample	oro162654
oro162655		PRJNA518082	not collected		feces metagenome	2016-08-26	USA: Brown Lane Hollis NH	not collected	sample	oro162655
oro162656		PRJNA518082	not collected		feces metagenome	2016-08-26	USA: Brown Lane Hollis NH	not collected	sample	oro162656
oro162657		PRJNA518082	not collected		feces metagenome	2016-08-26	USA: Brown Lane Hollis NH	not collected	sample	oro162657
oro162658		PRJNA518082	not collected		feces metagenome	2016-09-02	USA: Brown Lane Hollis NH	not collected	sample	oro162658
oro162659		PRJNA518082	not collected		feces metagenome	2016-09-02	USA: Brown Lane Hollis NH	not collected	sample	oro162659
oro162660		PRJNA518082	not collected		feces metagenome	2016-09-02	USA: Brown Lane Hollis NH	not collected	sample	oro162660
oro162661		PRJNA518082	not collected		feces metagenome	2016-09-02	USA: Brown Lane Hollis NH	not collected	sample	oro162661
oro162662		PRJNA518082	not collected		feces metagenome	2016-09-02	USA: Brown Lane Hollis NH	not collected	sample	oro162662
oro162663		PRJNA518082	not collected		feces metagenome	2016-09-02	USA: Brown Lane Hollis NH	not collected	sample	oro162663
oro162664		PRJNA518082	not collected		feces metagenome	2016-09-02	USA: Brown Lane Hollis NH	not collected	sample	oro162664
oro162665		PRJNA518082	not collected		feces metagenome	2016-09-02	USA: Brown Lane Hollis NH	not collected	sample	oro162665
oro162666		PRJNA518082	not collected		feces metagenome	2016-09-02	USA: Brown Lane Hollis NH	not collected	sample	oro162666
oro162667		PRJNA518082	not collected		feces metagenome	2016-09-02	USA: Brown Lane Hollis NH	not collected	sample	oro162667
oro162668		PRJNA518082	not collected		feces metagenome	2016-09-02	USA: Brown Lane Hollis NH	not collected	sample	oro162668
oro162669		PRJNA518082	not collected		feces metagenome	2016-09-02	USA: Brown Lane Hollis NH	not collected	sample	oro162669
oro162670		PRJNA518082	not collected		feces metagenome	2016-09-09	USA: Brown Lane Hollis NH	not collected	sample	oro162670
oro162671		PRJNA518082	not collected		feces metagenome	2016-09-09	USA: Brown Lane Hollis NH	not collected	sample	oro162671
oro162672		PRJNA518082	not collected		feces metagenome	2016-09-09	USA: Brown Lane Hollis NH	not collected	sample	oro162672
oro162673		PRJNA518082	not collected		feces metagenome	2016-09-09	USA: Brown Lane Hollis NH	not collected	sample	oro162673
oro162674		PRJNA518082	not collected		feces metagenome	2016-09-09	USA: Brown Lane Hollis NH	not collected	sample	oro162674
oro162675		PRJNA518082	not collected		feces metagenome	2016-09-09	USA: Brown Lane Hollis NH	not collected	sample	oro162675
oro162676		PRJNA518082	not collected		feces metagenome	2016-09-09	USA: Brown Lane Hollis NH	not collected	sample	oro162676
oro162677		PRJNA518082	not collected		feces metagenome	2016-09-09	USA: Brown Lane Hollis NH	not collected	sample	oro162677
oro162678		PRJNA518082	not collected		feces metagenome	2016-09-09	USA: Brown Lane Hollis NH	not collected	sample	oro162678
oro162685		PRJNA518082	not collected		feces metagenome	2016-09-16	USA: Brown Lane Hollis NH	not collected	sample	oro162685
oro162689		PRJNA518082	not collected		feces metagenome	2016-09-16	USA: Brown Lane Hollis NH	not collected	sample	oro162689
oro162690		PRJNA518082	not collected		feces metagenome	2016-09-16	USA: Brown Lane Hollis NH	not collected	sample	oro162690
oro162691		PRJNA518082	not collected		feces metagenome	2016-09-16	USA: Brown Lane Hollis NH	not collected	sample	oro162691
oro162692		PRJNA518082	not collected		feces metagenome	2016-09-16	USA: Brown Lane Hollis NH	not collected	sample	oro162692
oro162693		PRJNA518082	not collected		feces metagenome	2016-09-16	USA: Brown Lane Hollis NH	not collected	sample	oro162693
oro162694		PRJNA518082	not collected		feces metagenome	2016-09-16	USA: Brown Lane Hollis NH	not collected	sample	oro162694
