*sample_name	sample_title	bioproject_accession	*organism	*collection_date	*env_broad_scale	*env_local_scale	*env_medium	*geo_loc_name	*host	*lat_lon	SampleType	Library
bri160153		SUB5109424	not collected	2016-06-09	not collected	not collected	not collected	Acadia National Park ME	not collected	not collected	sample	libD
bri160154		SUB5109424	not collected	2016-06-09	not collected	not collected	not collected	Acadia National Park ME	not collected	not collected	sample	libD
bri160155		SUB5109424	not collected	2016-06-09	not collected	not collected	not collected	Acadia National Park ME	not collected	not collected	sample	libD
bri160156		SUB5109424	not collected	2016-06-09	not collected	not collected	not collected	Acadia National Park ME	not collected	not collected	sample	libD
bri160157		SUB5109424	not collected	2016-06-09	not collected	not collected	not collected	Acadia National Park ME	not collected	not collected	sample	libD
bri160158		SUB5109424	not collected	2016-06-09	not collected	not collected	not collected	Acadia National Park ME	not collected	not collected	sample	libD
bri160159		SUB5109424	not collected	2016-06-08	not collected	not collected	not collected	Acadia National Park ME	not collected	not collected	sample	libD
bri160161		SUB5109424	not collected	2016-05-27	not collected	not collected	not collected	Yorktown Naval Weapons Station VA	not collected	not collected	sample	libD
bri160162		SUB5109424	not collected	2016-05-27	not collected	not collected	not collected	Yorktown Naval Weapons Station VA	not collected	not collected	sample	libD
bri160357		SUB5109424	not collected	2016-07-16	not collected	not collected	not collected	Ely Mine VT	not collected	not collected	sample	libC
oro160384		SUB5109424	not collected	2016-04-22	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160385		SUB5109424	not collected	2016-04-22	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160386		SUB5109424	not collected	2016-04-22	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160387		SUB5109424	not collected	2016-04-22	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160388		SUB5109424	not collected	2016-04-22	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160392		SUB5109424	not collected	2016-04-22	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160393		SUB5109424	not collected	2016-04-22	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160394		SUB5109424	not collected	2016-04-22	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160395		SUB5109424	not collected	2016-04-22	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160396		SUB5109424	not collected	2016-04-29	not collected	not collected	not collected	Maple Hill Hollis NH	not collected	not collected	sample	libB
oro160397		SUB5109424	not collected	2016-04-29	not collected	not collected	not collected	Maple Hill Hollis NH	not collected	not collected	sample	libB
oro160398		SUB5109424	not collected	2016-04-29	not collected	not collected	not collected	Maple Hill Hollis NH	not collected	not collected	sample	libB
oro160399		SUB5109424	not collected	2016-04-29	not collected	not collected	not collected	Maple Hill Hollis NH	not collected	not collected	sample	libB
oro160400		SUB5109424	not collected	2016-04-29	not collected	not collected	not collected	Maple Hill Hollis NH	not collected	not collected	sample	libB
oro160401		SUB5109424	not collected	2016-04-29	not collected	not collected	not collected	Maple Hill Hollis NH	not collected	not collected	sample	libB
oro160403		SUB5109424	not collected	2016-04-29	not collected	not collected	not collected	Maple Hill Hollis NH	not collected	not collected	sample	libB
oro160404		SUB5109424	not collected	2016-04-29	not collected	not collected	not collected	Maple Hill Hollis NH	not collected	not collected	sample	libB
oro160405		SUB5109424	not collected	2016-04-29	not collected	not collected	not collected	Maple Hill Hollis NH	not collected	not collected	sample	libB
bri160406		SUB5109424	not collected	2016-07-28	not collected	not collected	not collected	Ely Mine VT	not collected	not collected	sample	libD
oro160406		SUB5109424	not collected	2016-04-29	not collected	not collected	not collected	Maple Hill Hollis NH	not collected	not collected	sample	libB
bri160407		SUB5109424	not collected	2016-07-28	not collected	not collected	not collected	Ely Mine VT	not collected	not collected	sample	libD
oro160407		SUB5109424	not collected	2016-04-29	not collected	not collected	not collected	Maple Hill Hollis NH	not collected	not collected	sample	libB
bri160408		SUB5109424	not collected	2016-07-28	not collected	not collected	not collected	Ely Mine VT	not collected	not collected	sample	libD
oro160408		SUB5109424	not collected	2016-05-09	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
bri160409		SUB5109424	not collected	2016-07-28	not collected	not collected	not collected	Ely Mine VT	not collected	not collected	sample	libD
oro160409		SUB5109424	not collected	2016-05-09	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
bri160410		SUB5109424	not collected	2016-07-28	not collected	not collected	not collected	Ely Mine VT	not collected	not collected	sample	libD
oro160410		SUB5109424	not collected	2016-05-09	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
bri160411		SUB5109424	not collected	2016-07-28	not collected	not collected	not collected	Ely Mine VT	not collected	not collected	sample	libD
oro160411		SUB5109424	not collected	2016-05-09	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160412		SUB5109424	not collected	2016-05-09	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
bri160412		SUB5109424	not collected	2016-07-28	not collected	not collected	not collected	Ely Mine VT	not collected	not collected	sample	libD
oro160413		SUB5109424	not collected	2016-05-09	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160414		SUB5109424	not collected	2016-05-09	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160415		SUB5109424	not collected	2016-05-09	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160416		SUB5109424	not collected	2016-05-09	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160417		SUB5109424	not collected	2016-05-09	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160418		SUB5109424	not collected	2016-05-09	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160419		SUB5109424	not collected	2016-05-09	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160420		SUB5109424	not collected	2016-05-15	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160421		SUB5109424	not collected	2016-05-15	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160422		SUB5109424	not collected	2016-05-15	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160423		SUB5109424	not collected	2016-05-15	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160424		SUB5109424	not collected	2016-05-15	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160425		SUB5109424	not collected	2016-05-15	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160426		SUB5109424	not collected	2016-05-15	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160427		SUB5109424	not collected	2016-05-15	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160428		SUB5109424	not collected	2016-05-15	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160429		SUB5109424	not collected	2016-05-15	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160430		SUB5109424	not collected	2016-05-15	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160431		SUB5109424	not collected	2016-05-15	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160434		SUB5109424	not collected	2016-05-20	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160435		SUB5109424	not collected	2016-05-20	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160436		SUB5109424	not collected	2016-05-20	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160437		SUB5109424	not collected	2016-05-20	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160438		SUB5109424	not collected	2016-05-20	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160439		SUB5109424	not collected	2016-05-20	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160440		SUB5109424	not collected	2016-05-20	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160441		SUB5109424	not collected	2016-05-20	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160442		SUB5109424	not collected	2016-05-20	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160443		SUB5109424	not collected	2016-05-20	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160444		SUB5109424	not collected	2016-05-20	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160445		SUB5109424	not collected	2016-05-20	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160446		SUB5109424	not collected	2016-05-26	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
