SeqID1,SeqID2,betadistance,Method,Filt,betatest,binaryval
mockIM4p4L2,mockIM4p4L1,0.0406,dada2,basic,bray,FALSE
mockIM4p7L1,mockIM4p4L1,0.0436,dada2,basic,bray,FALSE
mockIM4p7L2,mockIM4p4L1,0.0426,dada2,basic,bray,FALSE
mockIM4p7L1,mockIM4p4L2,0.0548,dada2,basic,bray,FALSE
mockIM4p7L2,mockIM4p4L2,0.0634,dada2,basic,bray,FALSE
mockIM4p7L2,mockIM4p7L1,0.0418,dada2,basic,bray,FALSE
mockIM4p4L1,mockIM4p4L2,0,dada2,extra,morisita,FALSE
mockIM4p4L1,mockIM4p7L1,0.00195040988602724,dada2,extra,morisita,FALSE
mockIM4p4L1,mockIM4p7L2,0.00126224432595901,dada2,extra,morisita,FALSE
mockIM4p4L2,mockIM4p7L1,0.00297794588879841,dada2,extra,morisita,FALSE
mockIM4p4L2,mockIM4p7L2,0.000571823495969848,dada2,extra,morisita,FALSE
mockIM4p7L1,mockIM4p7L2,0.00202532014762125,dada2,extra,morisita,FALSE
mockIM4p4L2,mockIM4p4L1,0,dada2,extra,morisita,FALSE
mockIM4p7L1,mockIM4p4L1,0.00195040988602724,dada2,extra,morisita,FALSE
mockIM4p7L2,mockIM4p4L1,0.00126224432595901,dada2,extra,morisita,FALSE
mockIM4p7L1,mockIM4p4L2,0.00297794588879841,dada2,extra,morisita,FALSE
mockIM4p7L2,mockIM4p4L2,0.000571823495969848,dada2,extra,morisita,FALSE
mockIM4p7L2,mockIM4p7L1,0.00202532014762125,dada2,extra,morisita,FALSE
mockIM4p4L1,mockIM4p4L2,0.00191325675850129,dada2,standard,morisita,FALSE
mockIM4p4L1,mockIM4p7L1,0.000476444197839765,dada2,standard,morisita,FALSE
mockIM4p4L1,mockIM4p7L2,0.00140237863660675,dada2,standard,morisita,FALSE
mockIM4p4L2,mockIM4p7L1,0.00177981307886643,dada2,standard,morisita,FALSE
mockIM4p4L2,mockIM4p7L2,0.00251902182488484,dada2,standard,morisita,FALSE
mockIM4p7L1,mockIM4p7L2,0.00153758605803955,dada2,standard,morisita,FALSE
mockIM4p4L2,mockIM4p4L1,0.00191325675850129,dada2,standard,morisita,FALSE
mockIM4p7L1,mockIM4p4L1,0.000476444197839765,dada2,standard,morisita,FALSE
mockIM4p7L2,mockIM4p4L1,0.00140237863660675,dada2,standard,morisita,FALSE
mockIM4p7L1,mockIM4p4L2,0.00177981307886643,dada2,standard,morisita,FALSE
mockIM4p7L2,mockIM4p4L2,0.00251902182488484,dada2,standard,morisita,FALSE
mockIM4p7L2,mockIM4p7L1,0.00153758605803955,dada2,standard,morisita,FALSE
mockIM4p4L1,mockIM4p4L2,0.00160961651884262,dada2,basic,morisita,FALSE
mockIM4p4L1,mockIM4p7L1,0.000807219804363379,dada2,basic,morisita,FALSE
mockIM4p4L1,mockIM4p7L2,0.00296656178282717,dada2,basic,morisita,FALSE
mockIM4p4L2,mockIM4p7L1,0.00516102950989183,dada2,basic,morisita,FALSE
mockIM4p4L2,mockIM4p7L2,0.0022568007705499,dada2,basic,morisita,FALSE
mockIM4p7L1,mockIM4p7L2,0.00201858303395153,dada2,basic,morisita,FALSE
mockIM4p4L2,mockIM4p4L1,0.00160961651884262,dada2,basic,morisita,FALSE
mockIM4p7L1,mockIM4p4L1,0.000807219804363379,dada2,basic,morisita,FALSE
mockIM4p7L2,mockIM4p4L1,0.00296656178282717,dada2,basic,morisita,FALSE
mockIM4p7L1,mockIM4p4L2,0.00516102950989183,dada2,basic,morisita,FALSE
mockIM4p7L2,mockIM4p4L2,0.0022568007705499,dada2,basic,morisita,FALSE
mockIM4p7L2,mockIM4p7L1,0.00201858303395153,dada2,basic,morisita,FALSE
mockIM4p4L1,mockIM4p4L2,0,deblur,extra,dice,TRUE
mockIM4p4L1,mockIM4p7L1,0,deblur,extra,dice,TRUE
mockIM4p4L1,mockIM4p7L2,0.0204081632653061,deblur,extra,dice,TRUE
mockIM4p4L2,mockIM4p7L1,0,deblur,extra,dice,TRUE
mockIM4p4L2,mockIM4p7L2,0.0204081632653061,deblur,extra,dice,TRUE
mockIM4p7L1,mockIM4p7L2,0.0204081632653061,deblur,extra,dice,TRUE
mockIM4p4L2,mockIM4p4L1,0,deblur,extra,dice,TRUE
mockIM4p7L1,mockIM4p4L1,0,deblur,extra,dice,TRUE
mockIM4p7L2,mockIM4p4L1,0.0204081632653061,deblur,extra,dice,TRUE
mockIM4p7L1,mockIM4p4L2,0,deblur,extra,dice,TRUE
mockIM4p7L2,mockIM4p4L2,0.0204081632653061,deblur,extra,dice,TRUE
mockIM4p7L2,mockIM4p7L1,0.0204081632653061,deblur,extra,dice,TRUE
mockIM4p4L1,mockIM4p4L2,0.0204081632653061,deblur,standard,dice,TRUE
mockIM4p4L1,mockIM4p7L1,0.0204081632653061,deblur,standard,dice,TRUE
mockIM4p4L1,mockIM4p7L2,0.0204081632653061,deblur,standard,dice,TRUE
mockIM4p4L2,mockIM4p7L1,0.04,deblur,standard,dice,TRUE
mockIM4p4L2,mockIM4p7L2,0.04,deblur,standard,dice,TRUE
mockIM4p7L1,mockIM4p7L2,0.04,deblur,standard,dice,TRUE
mockIM4p4L2,mockIM4p4L1,0.0204081632653061,deblur,standard,dice,TRUE
mockIM4p7L1,mockIM4p4L1,0.0204081632653061,deblur,standard,dice,TRUE
mockIM4p7L2,mockIM4p4L1,0.0204081632653061,deblur,standard,dice,TRUE
mockIM4p7L1,mockIM4p4L2,0.04,deblur,standard,dice,TRUE
mockIM4p7L2,mockIM4p4L2,0.04,deblur,standard,dice,TRUE
mockIM4p7L2,mockIM4p7L1,0.04,deblur,standard,dice,TRUE
mockIM4p4L1,mockIM4p4L2,0.213114754098361,deblur,basic,dice,TRUE
mockIM4p4L1,mockIM4p7L1,0.186440677966102,deblur,basic,dice,TRUE
mockIM4p4L1,mockIM4p7L2,0.435294117647059,deblur,basic,dice,TRUE
mockIM4p4L2,mockIM4p7L1,0.142857142857143,deblur,basic,dice,TRUE
mockIM4p4L2,mockIM4p7L2,0.414634146341463,deblur,basic,dice,TRUE
mockIM4p7L1,mockIM4p7L2,0.4,deblur,basic,dice,TRUE
mockIM4p4L2,mockIM4p4L1,0.213114754098361,deblur,basic,dice,TRUE
mockIM4p7L1,mockIM4p4L1,0.186440677966102,deblur,basic,dice,TRUE
mockIM4p7L2,mockIM4p4L1,0.435294117647059,deblur,basic,dice,TRUE
mockIM4p7L1,mockIM4p4L2,0.142857142857143,deblur,basic,dice,TRUE
mockIM4p7L2,mockIM4p4L2,0.414634146341463,deblur,basic,dice,TRUE
mockIM4p7L2,mockIM4p7L1,0.4,deblur,basic,dice,TRUE
mockIM4p4L1,mockIM4p4L2,0.0392,deblur,extra,bray,FALSE
mockIM4p4L1,mockIM4p7L1,0.0494,deblur,extra,bray,FALSE
mockIM4p4L1,mockIM4p7L2,0.0506,deblur,extra,bray,FALSE
mockIM4p4L2,mockIM4p7L1,0.038,deblur,extra,bray,FALSE
mockIM4p4L2,mockIM4p7L2,0.044,deblur,extra,bray,FALSE
mockIM4p7L1,mockIM4p7L2,0.0422,deblur,extra,bray,FALSE
