SeqID1,SeqID2,betadistance,Method,Filt,BetaType,RareType,LegendLabel
libA,libD,0.761655541737891,deblur,extra,bray,unrarefied,bray - extra
libB,libC,0.320048057764481,deblur,extra,bray,unrarefied,bray - extra
libB,libD,0.460791292622782,deblur,extra,bray,unrarefied,bray - extra
libC,libD,0.680484635056387,deblur,extra,bray,unrarefied,bray - extra
libA,libB,0.463653583252351,deblur,standard,bray,unrarefied,bray - standard
libA,libC,0.168858350519674,deblur,standard,bray,unrarefied,bray - standard
libA,libD,0.761612907948872,deblur,standard,bray,unrarefied,bray - standard
libB,libC,0.320046482184306,deblur,standard,bray,unrarefied,bray - standard
libB,libD,0.460721662127491,deblur,standard,bray,unrarefied,bray - standard
libC,libD,0.680420953823031,deblur,standard,bray,unrarefied,bray - standard
libA,libB,0.463653583252351,deblur,basic,bray,unrarefied,bray - basic
libA,libC,0.168858350519674,deblur,basic,bray,unrarefied,bray - basic
libA,libD,0.761675019907256,deblur,basic,bray,unrarefied,bray - basic
libB,libC,0.320046482184306,deblur,basic,bray,unrarefied,bray - basic
libB,libD,0.460838192216318,deblur,basic,bray,unrarefied,bray - basic
libC,libD,0.680500393812947,deblur,basic,bray,unrarefied,bray - basic
libA,libB,0.000210328774302049,dada2,basic,morisita,rarefied,morisita - basic
libA,libC,0,dada2,basic,morisita,rarefied,morisita - basic
libA,libD,0.000181363929940392,dada2,basic,morisita,rarefied,morisita - basic
libB,libC,0.00266722798532626,dada2,basic,morisita,rarefied,morisita - basic
libB,libD,0.00503761615944021,dada2,basic,morisita,rarefied,morisita - basic
libC,libD,0.00108167092908318,dada2,basic,morisita,rarefied,morisita - basic
libA,libB,0.00236610122767211,dada2,standard,morisita,rarefied,morisita - standard
libA,libC,0.00175802664962843,dada2,standard,morisita,rarefied,morisita - standard
libA,libD,0.0017338561884882,dada2,standard,morisita,rarefied,morisita - standard
libB,libC,0.00134065032864206,dada2,standard,morisita,rarefied,morisita - standard
libB,libD,0.000466190407036438,dada2,standard,morisita,rarefied,morisita - standard
libC,libD,0,dada2,standard,morisita,rarefied,morisita - standard
libA,libB,0,dada2,extra,morisita,rarefied,morisita - extra
libA,libC,0.000900266732821509,dada2,extra,morisita,rarefied,morisita - extra
libA,libD,0.00148120115899675,dada2,extra,morisita,rarefied,morisita - extra
libB,libC,0.00119685880071607,dada2,extra,morisita,rarefied,morisita - extra
libB,libD,0.00281047303337312,dada2,extra,morisita,rarefied,morisita - extra
libC,libD,0.00264227725672717,dada2,extra,morisita,rarefied,morisita - extra
libA,libB,0.00177140217315752,deblur,basic,morisita,rarefied,morisita - basic
libA,libC,0.000296146527028918,deblur,basic,morisita,rarefied,morisita - basic
libA,libD,0.00213400641224126,deblur,basic,morisita,rarefied,morisita - basic
libB,libC,0.00256032502137937,deblur,basic,morisita,rarefied,morisita - basic
libB,libD,0.00211467366838936,deblur,basic,morisita,rarefied,morisita - basic
libC,libD,0.00378517866837424,deblur,basic,morisita,rarefied,morisita - basic
libA,libB,0.00409069520723548,deblur,standard,morisita,rarefied,morisita - standard
libA,libC,0.000697577202335209,deblur,standard,morisita,rarefied,morisita - standard
