Dataset,length,lengthCounts,nObs,pObs
derep,351,356,1841946,0.000193273852762242
derep,352,167,1841946,9.06649814923999e-05
derep,353,94,1841946,5.10329835945245e-05
derep,354,200,1841946,0.000108580816158563
derep,355,85,1841946,4.61468468673892e-05
derep,356,85,1841946,4.61468468673892e-05
derep,357,157,1841946,8.52359406844717e-05
derep,358,90,1841946,4.88613672713532e-05
derep,359,186,1841946,0.000100980159027463
derep,360,219,1841946,0.000118895993693626
derep,361,358,1841946,0.000194359660923827
derep,362,121,1841946,6.56913937759305e-05
derep,363,320,1841946,0.0001737293058537
derep,364,142,1841946,7.70923794725795e-05
derep,365,110,1841946,5.97194488872095e-05
derep,366,436,1841946,0.000236706179225667
derep,367,115,1841946,6.24339692911736e-05
derep,368,121,1841946,6.56913937759305e-05
derep,369,246,1841946,0.000133554403875032
derep,370,137,1841946,7.43778590686155e-05
derep,371,177,1841946,9.6094022300328e-05
derep,372,355,1841946,0.000192730948681449
derep,373,200,1841946,0.000108580816158563
derep,374,135,1841946,7.32920509070298e-05
derep,375,311,1841946,0.000168843169126565
derep,376,148,1841946,8.03498039573364e-05
derep,377,153,1841946,8.30643243613005e-05
derep,378,410,1841946,0.000222590673125054
derep,379,191,1841946,0.000103694679431427
derep,380,138,1841946,7.49207631494083e-05
derep,381,428,1841946,0.000232362946579324
derep,382,156,1841946,8.46930366036789e-05
derep,383,132,1841946,7.16633386646514e-05
derep,384,658,1841946,0.000357230885161671
derep,385,158,1841946,8.57788447652646e-05
derep,386,443,1841946,0.000240506507791216
derep,387,556,1841946,0.000301854668920804
derep,388,117,1841946,6.35197774527592e-05
derep,389,129,1841946,7.0034626422273e-05
derep,390,321,1841946,0.000174272209934493
derep,391,131,1841946,7.11204345838586e-05
derep,392,164,1841946,8.90362692500214e-05
derep,393,353,1841946,0.000191645140519863
derep,394,194,1841946,0.000105323391673806
derep,395,189,1841946,0.000102608871269842
derep,396,343,1841946,0.000186216099711935
derep,397,145,1841946,7.8721091714958e-05
derep,398,232,1841946,0.000125953746743933
derep,399,457,1841946,0.000248107164922316
derep,400,208,1841946,0.000112924048804905
derep,401,349,1841946,0.000189473524196692
derep,402,679,1841946,0.00036863187085832
derep,403,1594,1841946,0.000865389104783745
derep,404,132,1841946,7.16633386646514e-05
derep,405,702,1841946,0.000381118664716555
derep,406,232,1841946,0.000125953746743933
derep,407,7206,1841946,0.00391216680619302
derep,408,637,1841946,0.000345829899465022
derep,409,204,1841946,0.000110752432481734
derep,410,268,1841946,0.000145498293652474
derep,411,574,1841946,0.000311626942375075
derep,412,162,1841946,8.79504610884358e-05
derep,413,158,1841946,8.57788447652646e-05
derep,414,723,1841946,0.000392519650413204
derep,415,341,1841946,0.000185130291550349
derep,416,294,1841946,0.000159613799753087
derep,417,642,1841946,0.000348544419868986
derep,418,245,1841946,0.000133011499794239
derep,419,393,1841946,0.000213361303751576
derep,420,874,1841946,0.000474498166612919
derep,421,870,1841946,0.000472326550289748
derep,422,302,1841946,0.00016395703239943
derep,423,647,1841946,0.00035125894027295
derep,424,169,1841946,9.17507896539855e-05
derep,425,272,1841946,0.000147669909975645
derep,426,816,1841946,0.000443009729926936
derep,427,164,1841946,8.90362692500214e-05
derep,428,197,1841946,0.000106952103916184
derep,429,699,1841946,0.000379489952474177
derep,430,219,1841946,0.000118895993693626
derep,431,142,1841946,7.70923794725795e-05
derep,432,827,1841946,0.000448981674815657
derep,433,212,1841946,0.000115095665128076
derep,434,313,1841946,0.000169928977288151
derep,435,731,1841946,0.000396862883059547
derep,436,213,1841946,0.000115638569208869
derep,437,204,1841946,0.000110752432481734
derep,438,1102,1841946,0.000598280297033681
derep,439,328,1841946,0.000178072538500043
derep,440,266,1841946,0.000144412485490888
derep,441,1041,1841946,0.000565163148105319
derep,442,238,1841946,0.00012921117122869
derep,443,220,1841946,0.000119438897774419
derep,444,1016,1841946,0.000551590546085499
derep,445,395,1841946,0.000214447111913161
derep,446,306,1841946,0.000166128648722601
derep,447,1085,1841946,0.000589050927660203
derep,448,308,1841946,0.000167214456884187
derep,449,659,1841946,0.000357773789242464
derep,450,1329,1841946,0.000721519523373649
derep,451,1153,1841946,0.000625968405154114
derep,452,688,1841946,0.000373518007585456
derep,453,1658,1841946,0.000900134965954485
derep,454,405,1841946,0.00021987615272109
derep,455,651,1841946,0.000353430556596122
derep,456,2344,1841946,0.00127256716537836
derep,457,584,1841946,0.000317055983183003
derep,458,837,1841946,0.000454410715623585
derep,459,1953,1841946,0.00106029166978837
derep,460,631,1841946,0.000342572474980265
derep,461,591,1841946,0.000320856311748553
derep,462,2882,1841946,0.00156464956084489
derep,463,657,1841946,0.000356687981080879
derep,464,716,1841946,0.000388719321847655
derep,465,2123,1841946,0.00115258536352314
derep,466,638,1841946,0.000346372803545815
derep,467,603,1841946,0.000327371160718067
derep,468,2797,1841946,0.0015185027139775
derep,469,774,1841946,0.000420207758533638
derep,470,595,1841946,0.000323027928071724
derep,471,2530,1841946,0.00137354732440582
derep,472,930,1841946,0.000504900795137317
derep,473,576,1841946,0.000312712750536661
derep,474,2051,1841946,0.00111349626970606
derep,475,616,1841946,0.000334428913768373
derep,476,657,1841946,0.000356687981080879
derep,477,1637,1841946,0.000888733980257836
derep,478,586,1841946,0.000318141791344589
derep,479,563,1841946,0.000305654997486354
derep,480,2144,1841946,0.00116398634921979
derep,481,564,1841946,0.000306197901567147
derep,482,501,1841946,0.0002719949444772
derep,483,1229,1841946,0.000667229115294368
derep,484,512,1841946,0.000277966889365921
derep,485,339,1841946,0.000184044483388764
derep,486,995,1841946,0.00054018956038885
derep,487,492,1841946,0.000267108807750064
derep,488,362,1841946,0.000196531277246999
derep,489,968,1841946,0.000525531150207444
derep,490,387,1841946,0.000210103879266819
derep,491,345,1841946,0.000187301907873521
derep,492,803,1841946,0.000435951976876629
derep,493,402,1841946,0.000218247440478711
derep,494,637,1841946,0.000345829899465022
derep,495,746,1841946,0.000405006444271439
derep,496,339,1841946,0.000184044483388764
derep,497,449,1841946,0.000243763932275973
derep,498,1068,1841946,0.000579821558286725
derep,499,337,1841946,0.000182958675227178
derep,500,403,1841946,0.000218790344559504
derep,501,1233,1841946,0.000669400731617539
derep,502,652,1841946,0.000353973460676915
derep,503,342,1841946,0.000185673195631142
derep,504,1429,1841946,0.000775809931452931
derep,505,616,1841946,0.000334428913768373
derep,506,392,1841946,0.000212818399670783
derep,507,1565,1841946,0.000849644886440753
derep,508,383,1841946,0.000207932262943648
derep,509,452,1841946,0.000245392644518352
derep,510,3576,1841946,0.0019414249929151
derep,511,693,1841946,0.00037623252798942
derep,512,696,1841946,0.000377861240231798
derep,513,5674,1841946,0.00308043775441842
derep,514,942,1841946,0.00051141564410683
derep,515,739,1841946,0.000401206115705889
derep,516,7293,1841946,0.00395939946122199
derep,517,911,1841946,0.000494585617602253
derep,518,948,1841946,0.000514673068591587
derep,519,6987,1841946,0.00379327081249939
derep,520,844,1841946,0.000458211044189135
derep,521,901,1841946,0.000489156576794325
derep,522,7758,1841946,0.00421184985879065
derep,523,866,1841946,0.000470154933966577
derep,524,982,1841946,0.000533131807338543
derep,525,8650,1841946,0.00469612029885784
derep,526,964,1841946,0.000523359533884272
derep,527,883,1841946,0.000479384303340054
derep,528,8328,1841946,0.00452130518484255
derep,529,1146,1841946,0.000622168076588564
derep,530,880,1841946,0.000477755591097676
derep,531,7876,1841946,0.0042759125403242
derep,532,1489,1841946,0.0008083841763005
derep,533,1328,1841946,0.000720976619292857
derep,534,10605,1841946,0.00575749777680779
derep,535,1091,1841946,0.00059230835214496
derep,536,1219,1841946,0.00066180007448644
