SeqID,StudyID,SampleType,Library,WOY,DNAplate,Site,Date,MonthStart
oro160553,oro16,sample,libB,17,12,BRN,2016-04-29,April
oro160554,oro16,sample,libB,17,12,BRN,2016-04-29,April
oro160555,oro16,sample,libB,17,12,BRN,2016-04-29,April
oro160556,oro16,sample,libB,17,12,BRN,2016-04-29,April
oro160557,oro16,sample,libB,17,12,BRN,2016-04-29,April
oro160558,oro16,sample,libB,19,13,MAP,2016-05-09,May
oro160559,oro16,sample,libB,19,13,MAP,2016-05-09,May
oro160560,oro16,sample,libB,19,13,MAP,2016-05-09,May
oro160561,oro16,sample,libB,19,14,MAP,2016-05-09,May
oro160562,oro16,sample,libB,19,14,MAP,2016-05-09,May
oro160563,oro16,sample,libB,19,14,MAP,2016-05-09,May
oro160564,oro16,sample,libB,19,14,MAP,2016-05-09,May
oro160565,oro16,sample,libB,19,14,MAP,2016-05-09,May
oro160566,oro16,sample,libB,19,14,MAP,2016-05-09,May
oro160567,oro16,sample,libB,19,14,MAP,2016-05-09,May
oro160568,oro16,sample,libB,19,14,MAP,2016-05-09,May
oro160569,oro16,sample,libB,19,14,MAP,2016-05-09,May
oro160570,oro16,sample,libB,19,14,MAP,2016-05-15,May
oro160571,oro16,sample,libB,19,14,MAP,2016-05-15,May
oro160572,oro16,sample,libB,19,14,MAP,2016-05-15,May
oro160573,oro16,sample,libB,19,14,MAP,2016-05-15,May
oro160574,oro16,sample,libB,19,14,MAP,2016-05-15,May
oro160575,oro16,sample,libB,19,14,MAP,2016-05-15,May
oro160576,oro16,sample,libB,19,14,MAP,2016-05-15,May
oro160577,oro16,sample,libB,19,14,MAP,2016-05-15,May
oro160578,oro16,sample,libB,19,14,MAP,2016-05-15,May
oro160579,oro16,sample,libB,19,14,MAP,2016-05-15,May
oro160580,oro16,sample,libB,19,14,MAP,2016-05-15,May
oro160581,oro16,sample,libB,19,14,MAP,2016-05-15,May
oro160584,oro16,sample,libB,20,14,MAP,2016-05-20,May
oro160585,oro16,sample,libB,20,14,MAP,2016-05-20,May
oro160586,oro16,sample,libB,20,14,MAP,2016-05-20,May
oro160587,oro16,sample,libB,20,14,MAP,2016-05-20,May
oro160588,oro16,sample,libB,20,14,MAP,2016-05-20,May
oro160589,oro16,sample,libB,20,14,MAP,2016-05-20,May
oro160590,oro16,sample,libB,20,14,MAP,2016-05-20,May
oro160591,oro16,sample,libB,20,14,MAP,2016-05-20,May
oro160592,oro16,sample,libB,20,14,MAP,2016-05-20,May
oro160593,oro16,sample,libB,20,14,MAP,2016-05-20,May
oro160594,oro16,sample,libB,20,14,MAP,2016-05-20,May
oro160595,oro16,sample,libB,20,14,MAP,2016-05-20,May
oro160596,oro16,sample,libB,22,14,MAP,2015-05-26,May
oro160597,oro16,sample,libB,22,14,MAP,2015-05-26,May
oro160598,oro16,sample,libB,22,14,MAP,2015-05-26,May
oro160599,oro16,sample,libB,22,14,MAP,2015-05-26,May
oro160600,oro16,sample,libB,22,14,MAP,2015-05-26,May
oro160601,oro16,sample,libB,22,14,MAP,2015-05-26,May
oro160603,oro16,sample,libB,22,14,MAP,2015-05-26,May
