SeqID StudyID SampleType Library
oro160611 oro16 sample libB
bri160611 bri16 sample libD
oro160612 oro16 sample libB
bri160612 bri16 sample libD
oro160613 oro16 sample libB
oro160614 oro16 sample libB
oro160615 oro16 sample libB
oro160616 oro16 sample libB
oro160617 oro16 sample libB
oro160618 oro16 sample libB
oro160619 oro16 sample libB
oro160620 oro16 sample libB
oro160621 oro16 sample libB
oro160622 oro16 sample libB
oro160623 oro16 sample libB
oro160624 oro16 sample libB
oro160625 oro16 sample libB
oro160626 oro16 sample libB
oro160627 oro16 sample libB
oro160628 oro16 sample libB
oro160629 oro16 sample libB
oro160634 oro16 sample libB
oro160635 oro16 sample libB
oro160636 oro16 sample libB
oro160637 oro16 sample libB
oro160638 oro16 sample libB
oro160639 oro16 sample libB
oro160640 oro16 sample libB
oro160641 oro16 sample libB
oro160642 oro16 sample libB
oro160643 oro16 sample libB
oro160645 oro16 sample libB
oro160646 oro16 sample libB
oro160647 oro16 sample libB
oro160648 oro16 sample libB
oro160649 oro16 sample libB
oro160650 oro16 sample libB
oro160651 oro16 sample libB
oro160652 oro16 sample libB
oro160653 oro16 sample libB
oro160654 oro16 sample libB
oro160655 oro16 sample libB
oro160657 oro16 sample libB
oro160658 oro16 sample libB
bri160659 bri16 sample libC
oro160659 oro16 sample libB
bri160660 bri16 sample libC
oro160660 oro16 sample libB
oro160661 oro16 sample libB
oro160662 oro16 sample libB
oro160663 oro16 sample libB
oro160664 oro16 sample libB
oro160665 oro16 sample libB
oro160666 oro16 sample libB
oro160668 oro16 sample libB
oro160669 oro16 sample libB
oro160670 oro16 sample libB
oro160671 oro16 sample libB
oro160672 oro16 sample libB
oro160673 oro16 sample libB
oro160674 oro16 sample libB
oro160675 oro16 sample libB
oro160676 oro16 sample libB
oro160677 oro16 sample libB
oro160678 oro16 sample libB
oro160679 oro16 sample libB
oro160680 oro16 sample libB
oro160681 oro16 sample libB
oro160684 oro16 sample libC
oro160692 oro16 sample libC
bri160692 bri16 sample libC
oro160693 oro16 sample libC
oro160694 oro16 sample libC
oro160695 oro16 sample libC
oro160696 oro16 sample libC
oro160697 oro16 sample libC
oro160698 oro16 sample libC
negoro06B02 negoro ncontrol libA
negoro06C03 negoro ncontrol libA
negoro06D04 negoro ncontrol libA
negoro06E05 negoro ncontrol libA
negoro06F06 negoro ncontrol libA
negoro06G07 negoro ncontrol libA
negoro06H07 negoro ncontrol libA
oro160700 oro16 sample libC
oro160701 oro16 sample libC
oro160703 oro16 sample libC
oro160704 oro16 sample libC
oro160706 oro16 sample libC
bri160751 bri16 sample libD
negoro07A01 negoro ncontrol libA
negoro07C03 negoro ncontrol libA
negoro07D04 negoro ncontrol libA
negoro07E05 negoro ncontrol libA
negoro07F06 negoro ncontrol libA
negoro07G07 negoro ncontrol libA
negoro07H08 negoro ncontrol libA
negoro08B02 negoro ncontrol libA
negoro08D04 negoro ncontrol libA
negoro08F06 negoro ncontrol libA
negoro08G07 negoro ncontrol libA
negoro08H08 negoro ncontrol libA
negoro08H11 negoro ncontrol libA
negoro09A01 negoro ncontrol libA
negoro09C03 negoro ncontrol libA
negoro09D04 negoro ncontrol libA
negoro09E05 negoro ncontrol libA
negoro09F06 negoro ncontrol libA
negoro09G07 negoro ncontrol libA
negoro09H08 negoro ncontrol libA
negoro10B02 negoro ncontrol libA
negoro10D04 negoro ncontrol libA
negoro10E05 negoro ncontrol libA
negoro10F06 negoro ncontrol libA
negoro10G07 negoro ncontrol libA
negoro10H08 negoro ncontrol libA
oro161134 oro16 sample libA
oro161135 oro16 sample libA
oro161136 oro16 sample libA
oro161137 oro16 sample libA
oro161138 oro16 sample libA
oro161139 oro16 sample libA
oro161140 oro16 sample libA
oro161141 oro16 sample libA
oro161142 oro16 sample libA
oro161143 oro16 sample libA
oro161144 oro16 sample libA
oro161146 oro16 sample libA
oro161147 oro16 sample libA
oro161148 oro16 sample libA
oro161149 oro16 sample libA
oro161150 oro16 sample libA
oro161151 oro16 sample libA
oro161152 oro16 sample libA
oro161153 oro16 sample libA
oro161154 oro16 sample libA
oro161155 oro16 sample libA
oro161156 oro16 sample libA
oro161157 oro16 sample libA
oro161158 oro16 sample libA
oro161159 oro16 sample libA
oro161160 oro16 sample libA
oro161161 oro16 sample libA
oro161162 oro16 sample libA
oro161164 oro16 sample libA
oro161165 oro16 sample libA
oro161166 oro16 sample libA
oro161167 oro16 sample libA
oro161168 oro16 sample libA
oro161169 oro16 sample libA
oro161170 oro16 sample libA
oro161171 oro16 sample libA
oro161171a oro16 sample libA
oro161171b oro16 sample libA
oro161172 oro16 sample libA
oro161173 oro16 sample libA
oro161174 oro16 sample libA
oro161175 oro16 sample libA
oro161176 oro16 sample libA
oro161178 oro16 sample libA
oro161179 oro16 sample libA
oro161180 oro16 sample libA
oro161181 oro16 sample libA
negoro12B02 negoro ncontrol libB
negoro12C03 negoro ncontrol libB
negoro12D04 negoro ncontrol libB
negoro12E05 negoro ncontrol libB
negoro12F06 negoro ncontrol libB
negoro12G07 negoro ncontrol libB
negoro12H08 negoro ncontrol libB
oro161324 oro16 sample libA
oro161325 oro16 sample libA
oro161327 oro16 sample libA
oro161328 oro16 sample libA
oro161329 oro16 sample libA
oro161330 oro16 sample libA
oro161331 oro16 sample libA
oro161334 oro16 sample libA
oro161335 oro16 sample libA
oro161336 oro16 sample libA
oro161337 oro16 sample libA
oro161338 oro16 sample libA
oro161339 oro16 sample libA
oro161340 oro16 sample libA
oro161341 oro16 sample libA
oro161342 oro16 sample libA
oro161343 oro16 sample libA
oro161344 oro16 sample libA
oro161345 oro16 sample libA
oro161346 oro16 sample libA
oro161347 oro16 sample libA
oro161348 oro16 sample libA
oro161349 oro16 sample libA
oro161350 oro16 sample libA
oro161351 oro16 sample libA
oro161352 oro16 sample libA
oro161353 oro16 sample libA
oro161354 oro16 sample libA
oro161355 oro16 sample libA
oro161356 oro16 sample libA
oro161357 oro16 sample libA
oro161358 oro16 sample libA
oro161360 oro16 sample libA
oro161361 oro16 sample libA
oro161362 oro16 sample libA
oro161363 oro16 sample libA
oro161364 oro16 sample libA
oro161365 oro16 sample libA
oro161366 oro16 sample libA
oro161367 oro16 sample libA
oro161368 oro16 sample libA
oro161369 oro16 sample libA
negoro13A01 negoro ncontrol libB
negoro13B02 negoro ncontrol libB
negoro13C03 negoro ncontrol libB
negoro13D04 negoro ncontrol libB
negoro13E05 negoro ncontrol libB
negoro13F06 negoro ncontrol libB
negoro13G07 negoro ncontrol libB
oro161435 oro16 sample libA
oro161436 oro16 sample libA
oro161437 oro16 sample libA
oro161438 oro16 sample libA
oro161439 oro16 sample libA
oro161440 oro16 sample libA
oro161441 oro16 sample libA
oro161442 oro16 sample libA
oro161443 oro16 sample libA
oro161444 oro16 sample libA
oro161445 oro16 sample libA
oro161447 oro16 sample libA
oro161448 oro16 sample libA
oro161449 oro16 sample libA
oro161450 oro16 sample libA
oro161451 oro16 sample libA
oro161452 oro16 sample libA
oro161453 oro16 sample libA
oro161454 oro16 sample libA
oro161455 oro16 sample libA
oro161457 oro16 sample libA
oro161458 oro16 sample libA
oro161459 oro16 sample libA
oro161461 oro16 sample libA
oro161462 oro16 sample libA
oro161463 oro16 sample libA
oro161464 oro16 sample libA
oro161465 oro16 sample libA
oro161466 oro16 sample libA
oro161467 oro16 sample libA
oro161468 oro16 sample libA
oro161470 oro16 sample libA
oro161471 oro16 sample libA
oro161472 oro16 sample libA
oro161473 oro16 sample libA
oro161474 oro16 sample libA
oro161475 oro16 sample libA
oro161476 oro16 sample libA
oro161477 oro16 sample libA
oro161478 oro16 sample libA
oro161479 oro16 sample libA
oro161480 oro16 sample libA
oro161481 oro16 sample libA
oro161484 oro16 sample libA
oro161485 oro16 sample libA
oro161486 oro16 sample libA
oro161487 oro16 sample libA
oro161488 oro16 sample libA
oro161489 oro16 sample libA
oro161490 oro16 sample libA
oro161491 oro16 sample libA
oro161492 oro16 sample libA
oro161493 oro16 sample libA
oro161494 oro16 sample libA
oro161495 oro16 sample libA
oro161496 oro16 sample libA
oro161497 oro16 sample libA
oro161498 oro16 sample libA
oro161499 oro16 sample libA
negoro14B02 negoro ncontrol libB
negoro14C03 negoro ncontrol libB
negoro14D04 negoro ncontrol libB
negoro14E05 negoro ncontrol libB
negoro14F06 negoro ncontrol libB
negoro14G07 negoro ncontrol libB
negoro14H08 negoro ncontrol libB
oro161500 oro16 sample libA
oro161501 oro16 sample libA
oro161502 oro16 sample libA
oro161503 oro16 sample libA
oro161504 oro16 sample libA
oro161506 oro16 sample libA
oro161507 oro16 sample libA
oro161508 oro16 sample libA
oro161509 oro16 sample libA
oro161510 oro16 sample libA
oro161511 oro16 sample libA
oro161512 oro16 sample libA
oro161513 oro16 sample libA
oro161514 oro16 sample libA
oro161515 oro16 sample libA
oro161516 oro16 sample libA
oro161517 oro16 sample libA
oro161519 oro16 sample libA
oro161520 oro16 sample libD
oro161521 oro16 sample libD
oro161522 oro16 sample libD
oro161523 oro16 sample libD
oro161524 oro16 sample libD
oro161525 oro16 sample libD
oro161526 oro16 sample libD
oro161527 oro16 sample libD
oro161528 oro16 sample libD
oro161529 oro16 sample libD
oro161530 oro16 sample libD
oro161531 oro16 sample libD
oro161535 oro16 sample libA
oro161536 oro16 sample libA
oro161537 oro16 sample libA
oro161538 oro16 sample libA
oro161539 oro16 sample libA
oro161540 oro16 sample libA
oro161541 oro16 sample libA
oro161542 oro16 sample libA
oro161543 oro16 sample libA
oro161544 oro16 sample libA
oro161546 oro16 sample libA
oro161547 oro16 sample libA
oro161548 oro16 sample libA
oro161549 oro16 sample libA
oro161550 oro16 sample libA
oro161551 oro16 sample libA
oro161552 oro16 sample libA
oro161554 oro16 sample libA
oro161555 oro16 sample libA
oro161556 oro16 sample libA
oro161557 oro16 sample libA
oro161558 oro16 sample libA
oro161560 oro16 sample libA
oro161561 oro16 sample libA
oro161562 oro16 sample libA
oro161563 oro16 sample libA
oro161564 oro16 sample libA
oro161565 oro16 sample libA
oro161567 oro16 sample libA
oro161568 oro16 sample libA
oro161569 oro16 sample libA
oro161570 oro16 sample libA
oro161571 oro16 sample libA
oro161573 oro16 sample libA
oro161574 oro16 sample libA
oro161575 oro16 sample libA
oro161576 oro16 sample libA
oro161577 oro16 sample libA
oro161578 oro16 sample libA
oro161579 oro16 sample libA
oro161580 oro16 sample libA
oro161581 oro16 sample libA
oro161582 oro16 sample libA
oro161583 oro16 sample libA
negoro15A01 negoro ncontrol libB
negoro15B02 negoro ncontrol libB
negoro15C03 negoro ncontrol libB
negoro15D04 negoro ncontrol libB
negoro15E05 negoro ncontrol libB
negoro15F06 negoro ncontrol libB
negoro15G07 negoro ncontrol libB
negoro15H08 negoro ncontrol libB
oro161684 oro16 sample libA
oro161685 oro16 sample libA
oro161686 oro16 sample libA
oro161687 oro16 sample libA
oro161688 oro16 sample libA
oro161689 oro16 sample libA
oro161690 oro16 sample libA
oro161691 oro16 sample libA
oro161693 oro16 sample libA
oro161694 oro16 sample libA
oro161695 oro16 sample libA
oro161696 oro16 sample libA
oro161699 oro16 sample libA
negoro16B02 negoro ncontrol libB
negoro16C03 negoro ncontrol libB
negoro16D04 negoro ncontrol libB
negoro16E05 negoro ncontrol libB
negoro16F06 negoro ncontrol libB
oro161700 oro16 sample libA
oro161701 oro16 sample libA
oro161702 oro16 sample libA
oro161703 oro16 sample libA
oro161704 oro16 sample libA
oro161705 oro16 sample libA
oro161706 oro16 sample libA
oro161707 oro16 sample libA
oro161708 oro16 sample libA
oro161709 oro16 sample libA
oro161710 oro16 sample libA
oro161711 oro16 sample libA
oro161712 oro16 sample libA
oro161713 oro16 sample libA
oro161714 oro16 sample libA
oro161715 oro16 sample libA
oro161716 oro16 sample libA
oro161717 oro16 sample libA
oro161718 oro16 sample libA
oro161719 oro16 sample libA
oro161720 oro16 sample libA
oro161721 oro16 sample libA
oro161722 oro16 sample libA
oro161723 oro16 sample libA
oro161724 oro16 sample libA
oro161725 oro16 sample libA
oro161726 oro16 sample libA
oro161727 oro16 sample libA
oro161728 oro16 sample libA
oro161729 oro16 sample libA
oro161730 oro16 sample libA
oro161731 oro16 sample libA
oro161732 oro16 sample libA
oro161733 oro16 sample libA
oro161784 oro16 sample libA
oro161785 oro16 sample libA
oro161786 oro16 sample libA
oro161787 oro16 sample libA
oro161788 oro16 sample libA
oro161789 oro16 sample libA
oro161790 oro16 sample libA
oro161791 oro16 sample libA
oro161792 oro16 sample libA
oro161793 oro16 sample libA
